Date,Open,High,Low,Close,Adj Close,Volume
26/05/2020,23198.33984,23481.48047,23165.49023,23384.66016,23384.66016,1421148200
27/05/2020,23515.14063,23515.14063,23134.60938,23301.35938,23301.35938,1837146100
28/05/2020,23206.75,23451.7793,22779.61914,23132.75977,23132.75977,2356792600
29/05/2020,22781.10938,23089.76953,22781.10938,22961.4707,22961.4707,3621412000
01/06/2020,23539.91016,23806.32031,23539.91016,23732.51953,23732.51953,2569148800
02/06/2020,23792.24023,23995.93945,23766.15039,23995.93945,23995.93945,1813293900
03/06/2020,24303.56055,24364.00977,24219.96094,24325.61914,24325.61914,2455118300
04/06/2020,24643.83984,24643.83984,24204.09961,24366.30078,24366.30078,1888873500
05/06/2020,24388.17969,24810.2207,24253.56055,24770.41016,24770.41016,2397618300
08/06/2020,25018.05078,25018.7793,24678.55078,24776.76953,24776.76953,2123439500
09/06/2020,24906.00977,25253.66992,24837.73047,25057.2207,25057.2207,2203396500
10/06/2020,25179.0293,25303.7793,24968.30078,25049.73047,25049.73047,1971349200
11/06/2020,24997.83984,25059.32031,24480.15039,24480.15039,24480.15039,1838958200
12/06/2020,23920.69922,24317.7207,23895.0293,24301.38086,24301.38086,1824519600
15/06/2020,23991.38086,24242.9707,23684.96094,23776.94922,23776.94922,2104538300
16/06/2020,24318.15039,24534.76953,24302.25,24344.08984,24344.08984,1611589900
17/06/2020,24363.39063,24532.00977,24195.82031,24481.41016,24481.41016,1278279300
18/06/2020,24386.31055,24464.93945,24121.89063,24464.93945,24464.93945,1811327100
19/06/2020,24373.35938,24776.53906,24334.35938,24643.89063,24643.89063,2390285700
22/06/2020,24528.5293,24628.94922,24391.16992,24511.33984,24511.33984,1612294200
23/06/2020,24541.43945,24907.33984,24184.88086,24907.33984,24907.33984,1549053700
24/06/2020,25034.86914,25071.32031,24770.94922,24781.58008,24781.58008,1431913700
26/06/2020,24697.98047,24756.58008,24537.76953,24549.99023,24549.99023,1509260100
29/06/2020,24627.64063,24627.64063,24148.61914,24301.2793,24301.2793,1835855400
30/06/2020,24468.24023,24598.60938,24271.76953,24427.18945,24427.18945,1892323300
02/07/2020,24563.57031,25124.18945,24563.57031,25124.18945,25124.18945,2746546400
03/07/2020,25319.2793,25453.58008,25182.59961,25373.11914,25373.11914,2320568900
06/07/2020,25545.53906,26453.60938,25543.15039,26339.16016,26339.16016,4883381900
07/07/2020,26571.08008,26782.61914,25911.74023,25975.66016,25975.66016,3913840700
08/07/2020,26078.60938,26299.83984,25849.7793,26129.17969,26129.17969,2582679500
09/07/2020,26351.13086,26374.93945,26016.75,26210.16016,26210.16016,2452681700
10/07/2020,25931.7793,26137.91016,25570.35938,25727.41016,25727.41016,2142150800
13/07/2020,25848.80078,26103.83984,25715.24023,25772.11914,25772.11914,2127288800
14/07/2020,25663.16016,25663.16016,25254.32031,25477.89063,25477.89063,2180279200
15/07/2020,25888.7793,25888.7793,25299.35938,25481.58008,25481.58008,1849317300
16/07/2020,25549.40039,25576.49023,24919.94922,24970.68945,24970.68945,1935051700
17/07/2020,25142.06055,25263.9707,25015.2793,25089.16992,25089.16992,1362500400
